gps_time,alt,amb,ch4,ch4d,ch4cal,co,co2,co2d,co2cal,cod,cog,gasp,h2o,hdop,heading,lat,lon,pressure,rd1,rd2,sog,t,temp,wd_corr,wd_uncorr,ws_corr,ws_uncorr
2018-10-24 15:30:13.500000,74.4,20.8531127831,1.89516938894,1.90533540977,1.97994498995,3.18184654621,430.475888695,432.784998557,427.579021101,3.19890951665,156.7,140.676609862,5335.51676711,0.9,159.9,43.6453933333,-79.35267,1017.0,6.48470625976,7.26800735198,1.6,19.7778116681,5.0,319.1,169.7,1.7,2.9
2018-10-24 15:30:14.500000,76.4,20.8512473449,1.89511837491,1.90546003149,1.9800763171,2.74022044505,428.740774517,431.080329277,425.863291241,2.7551575185,157.5,140.686054698,5427.21679882,0.9,159.3,43.6453766667,-79.3526533333,1016.8,6.48675480202,7.27697035433,1.2,19.7764453103,5.0,344.1,193.0,2.3,4.4
2018-10-24 15:30:15.500000,78.7,20.8500767054,1.89364859327,1.90395304112,1.9784882412,3.56270727064,431.491680196,433.839469402,428.640333776,3.582037344,162.5,140.678055841,5412.00866967,0.9,159.1,43.6453633333,-79.3526366667,1016.9,6.48663192978,7.23416218851,1.1,19.775414455,5.1,355.5,199.2,2.3,3.7
2018-10-24 15:30:16.500000,80.5,20.8486200047,1.89398416176,1.90420722386,1.97875610056,3.53175468265,432.52904071,434.863709519,429.671219576,3.55081207862,165.6,140.680999798,5368.66555245,0.9,159.0,43.6453533333,-79.3526216667,1017.0,6.48591336577,7.21606405123,0.9,19.7741393914,5.1,351.9,196.9,2.3,4.3
2018-10-24 15:30:17.500000,81.5,20.8466650355,1.89511117935,1.90541289755,1.98002664706,3.08723168932,430.036787772,432.374367282,427.165725485,3.10402038783,169.6,140.696117119,5406.47662757,1.3,158.8,43.64535,-79.3526166667,1017.0,6.48522294412,7.23371647204,0.9,19.7730061522,5.1,12.5,221.9,2.0,2.5
2018-10-24 15:30:18.500000,82.1,20.8447240225,1.8963524483,1.90665257019,1.98133302186,3.09069113872,428.958609016,431.288552099,426.072865098,3.10748374621,173.5,140.714383077,5402.2872876,1.3,158.8,43.6453466667,-79.3526166667,1016.9,6.48343191319,7.24821899125,0.7,19.7716766431,5.1,37.8,234.7,1.5,3.6
2018-10-24 15:30:19.500000,82.3,20.8465045675,1.89621258956,1.906568098,1.98124400453,2.98165007872,427.734316925,430.070318292,424.846726899,2.99793599141,176.1,140.699197749,5431.81556483,1.3,158.7,43.6453483333,-79.3526166667,1016.9,6.48378852831,7.26602472381,0.5,19.7704249558,5.1,24.3,223.4,2.0,4.1
2018-10-24 15:30:20.500000,82.3,20.8502093146,1.89534959326,1.9057635613,1.98039617871,3.09800523044,426.113716789,428.455025853,423.220953794,3.11502740597,176.6,140.673991923,5464.60930826,1.3,158.5,43.6453516667,-79.3526166667,1016.9,6.48587174854,7.2709503278,0.5,19.7691265194,5.2,25.6,219.6,2.3,4.0
2018-10-24 15:30:21.500000,82.3,20.8531471758,1.89457683983,1.9050055547,1.97959738661,3.11686869953,426.377801114,428.724701349,423.492379053,3.13402526726,177.8,140.664814171,5474.2333503,1.3,158.7,43.6453533333,-79.3526183333,1016.9,6.48667556827,7.26896903176,0.3,19.7679285594,5.2,0.7,205.6,1.7,3.0
2018-10-24 15:30:22.500000,82.3,20.8547314913,1.89269332016,1.90297479133,1.97745735544,3.19887204272,427.431658123,429.753514937,424.527867997,3.2162419915,179.0,140.636309788,5402.87301166,1.3,158.7,43.6453566667,-79.35262,1017.0,6.49069201026,7.26052407458,0.3,19.7666395334,5.2,22.0,231.1,1.4,3.1
2018-10-24 15:30:23.500000,82.2,20.8517532581,1.89326684526,1.90353134109,1.97804385106,3.38737439457,426.685076848,428.998413732,423.767867392,3.40574342699,177.5,140.64198968,5392.46109453,1.3,158.7,43.6453583333,-79.3526216667,1016.9,6.48831943333,7.26480199043,0.3,19.7652419048,5.2,24.0,222.4,1.4,3.2
2018-10-24 15:30:24.500000,82.0,20.8443696784,1.89388161225,1.90414648532,1.97869209391,3.54472776213,426.947467219,429.261478841,424.032639373,3.56393832687,176.3,140.663462237,5390.83016359,1.3,158.6,43.6453616667,-79.3526233333,1017.0,6.48599619442,7.27671043745,0.1,19.7639493385,5.2,27.8,231.5,1.5,2.8
2018-10-24 15:30:25.500000,81.7,20.8374432704,1.89463297329,1.90472439948,1.97930110347,2.70659888573,429.643163333,431.93146297,426.719947432,2.72105707357,161.8,140.665596792,5298.02347119,1.3,157.5,43.6453616667,-79.3526283333,1017.0,6.48287363362,7.26462154348,0.7,19.7625871273,5.2,46.0,303.2,0.8,2.2
2018-10-24 15:30:26.500000,81.6,20.8342637545,1.89470512827,1.90500443936,1.97959621125,2.28736587803,431.010174961,433.353102759,428.150811391,2.29982243326,147.7,140.660303145,5406.40193697,0.9,146.5,43.6453616667,-79.3526333333,1016.9,6.48149627394,7.25722020295,2.7,19.7613946906,5.2,96.5,330.3,2.0,5.2
2018-10-24 15:30:27.500000,81.2,20.833776241,1.89363449065,1.90398093763,1.97851763872,2.30885726647,431.123308979,433.478873556,428.27739824,2.32147861675,153.6,140.659876416,5434.1239396,0.9,146.2,43.645355,-79.3526333333,1017.0,6.48752512904,7.26244501845,5.3,19.7601252078,5.2,120.4,338.3,1.3,5.6
2018-10-24 15:30:28.500000,80.1,20.8322355112,1.89279747575,1.90306658539,1.97755408859,2.86730935453,431.616965529,433.958685624,428.760323521,2.8828709037,146.0,140.673703901,5396.24089315,0.9,146.0,43.64534,-79.3526216667,1016.9,6.48980481055,7.27904344908,7.4,19.75959,5.2,123.0,355.8,1.2,5.8
2018-10-24 15:30:29.500000,79.0,20.8274235868,1.89545312067,1.9057556256,1.98038781603,2.58311237806,433.646418898,436.003519939,430.818425544,2.59715224036,144.1,140.692832476,5406.25765401,0.9,146.2,43.6453233333,-79.3526083333,1016.9,6.48565358849,7.29121708833,8.5,19.7585233241,5.2,138.5,340.2,1.0,6.3
2018-10-24 15:30:30.500000,78.3,20.825712441,1.89795719688,1.90833495708,1.9831059317,3.20251223897,434.879005981,437.256903191,432.079941249,3.2200451314,141.1,140.678086262,5438.26622454,0.9,141.6,43.6453033333,-79.3525933333,1016.9,6.47932125754,7.27682010315,9.4,19.7572428641,5.2,63.0,315.4,3.2,8.6
2018-10-24 15:30:31.500000,77.9,20.8233463407,1.89750495093,1.90788519746,1.9826319722,3.36051579203,439.066556569,441.468410393,436.318774403,3.37890497556,138.3,140.660695999,5440.75352685,0.9,139.6,43.6452833333,-79.3525733333,1016.9,6.47879344084,7.2551802085,9.4,19.7558449887,5.2,73.8,335.1,2.6,5.7
2018-10-24 15:30:32.500000,77.5,20.819232711,1.89512666416,1.90534555136,1.97995567722,2.92252521103,440.76701121,443.143701742,438.004935716,2.93828815744,137.8,140.662912119,5363.20778842,0.9,145.4,43.6452666667,-79.3525533333,1016.9,6.48654205316,7.25278834226,8.8,19.7546950464,5.2,99.1,356.2,0.5,6.2
2018-10-24 15:30:33.500000,77.2,20.8197374854,1.89629135785,1.9064336078,1.98110227792,2.45540063123,441.778613621,444.14152607,439.009234329,2.46853427237,141.1,140.64156268,5320.17714665,0.9,160.4,43.64525,-79.3525383333,1017.0,6.48159131648,7.25438575881,8.3,19.7536300056,5.2,78.7,336.9,1.6,7.1
2018-10-24 15:30:34.500000,76.8,20.8254991709,1.89633369574,1.90683968655,1.98153020625,2.24032685932,442.675458985,445.128036873,440.002146011,2.25274202988,143.1,140.657370049,5509.85529803,0.9,152.8,43.64523,-79.3525266667,1017.1,6.4827022955,7.24997676004,8.5,19.7522511981,5.2,101.4,348.8,1.2,6.6
2018-10-24 15:30:35.500000,76.8,20.8340406917,1.89157875286,1.90204362774,1.97647608941,2.22624047249,441.682753221,444.126221991,438.993830951,2.23855868409,143.0,140.650050967,5501.67790427,0.9,131.8,43.64521,-79.3525133333,1016.9,6.48689226042,7.26696994373,8.8,19.7503017193,5.1,137.6,0.4,1.1,7.3
